state,county,lat,long
NJ,MONMOUTH,40.259,-74.2257
MI,ST CLAIR,42.9425,-82.6823
NJ,SALEM,39.5873,-75.3459
KY,PULASKI,37.1039,-84.5771
KY,TODD,36.8356,-87.1791
IA,JOHNSON,41.6715,-91.5881
IL,CRAWFORD,39.0028,-87.7595
WI,CRAWFORD,43.2395,-90.931
VA,SURRY,37.1089,-76.9009
MS,WASHINGTON,33.2836,-90.9474
IN,TIPPECANOE,40.3886,-86.8941
LA,SAINT MARTIN,30.1291,-91.6083
NY,CORTLAND,42.595,-76.0702
TN,WAYNE,35.2399,-87.788
TX,CALHOUN,28.4909,-96.6495
OH,ROSS,39.3376,-83.057
NY,ST LAWRENCE,44.4921,-75.0625
IL,WOODFORD,40.7882,-89.2111
KS,MORRIS,38.6875,-96.6499
SC,FLORENCE,34.0245,-79.7028
SD,MARSHALL,45.7586,-97.5986
SD,CLARK,44.8582,-97.7295
MS,YALOBUSHA,34.0282,-89.7076
KS,BARTON,38.479,-98.7565
VA,KING WILLIAM,37.7067,-77.0884
OK,WASHINGTON,36.7152,-95.9044
KY,MCLEAN,37.5291,-87.2636
SD,BON HOMME,42.9884,-97.8847
MO,BARTON,37.5023,-94.3471
WI,DODGE,43.4164,-88.7075
KY,SIMPSON,36.7419,-86.5823
TN,PUTNAM,36.1408,-85.4951
MI,OCEANA,43.6407,-86.2673
TN,JACKSON,36.3592,-85.6732
OH,KNOX,40.3988,-82.4216
MO,JOHNSON,38.7441,-93.8063
MO,LEWIS,40.0969,-91.7222
NC,PASQUOTANK,36.2974,-76.2867
AR,CLARK,34.051,-93.1764
LA,GRANT,31.5997,-92.5594
MI,OGEMAW,44.3349,-84.1266
AR,FRANKLIN,35.5123,-93.8906
MN,ITASCA,47.5095,-93.632
GA,LOWNDES,30.8339,-83.2677
IA,LEE,40.642,-91.4792
PA,JEFFERSON,41.1281,-78.9995
OK,TULSA,36.1211,-95.9414
MO,GRUNDY,40.114,-93.5653
NC,CHEROKEE,35.1339,-84.0635
PA,TIOGA,41.7721,-77.2543
PA,WARREN,41.8147,-79.2741
IA,GRUNDY,42.402,-92.7911
IA,JACKSON,42.1717,-90.5742
MS,JEFFERSON,31.7342,-91.0371
IA,WAYNE,40.7395,-93.3274
NE,CLAY,40.5244,-98.0512
MO,CLINTON,39.6018,-94.4046
AR,PULASKI,34.7699,-92.3117
NC,ONSLOW,34.7374,-77.4342
OH,HOLMES,40.5612,-81.9294
GA,CALHOUN,31.5292,-84.6249
SC,DORCHESTER,33.0795,-80.4052
WI,RACINE,42.7477,-88.0551
VA,ESSEX,37.9426,-76.9518
SD,MCCOOK,43.6743,-97.3684
IL,PULASKI,37.2228,-89.1267
NY,ONEIDA,43.2418,-75.4359
KY,SCOTT,38.2915,-84.5839
TN,HICKMAN,35.8033,-87.4733
MO,SCOTT,37.053,-89.5686
OH,COLUMBIANA,40.7686,-80.7775
KS,BOURBON,37.8552,-94.8493
AL,CONECUH,31.4293,-86.9936
IA,EMMET,43.3779,-94.6784
MS,MONTGOMERY,33.4941,-89.6164
IN,FLOYD,38.3194,-85.9068
PA,UNION,40.963,-77.0621
AR,SAINT FRANCIS,35.022,-90.7478
IN,MARION,39.7816,-86.1384
OK,MAJOR,36.3116,-98.536
MN,MILLE LACS,45.938,-93.6301
TX,GRAYSON,33.6268,-96.6776
OH,PIKE,39.0774,-83.0668
SD,HAND,44.5478,-99.005
IN,BENTON,40.6063,-87.3109
IA,MONONA,42.0516,-95.96
KS,CLAY,39.3497,-97.1651
TX,SHERMAN,36.2777,-101.8935
MN,ROCK,43.6747,-96.2532
NY,BROOME,42.1602,-75.8196
TX,FALLS,31.2533,-96.9358
NE,HITCHCOCK,40.1763,-101.0422
VA,GLOUCESTER,37.3643,-76.4883
MO,VERNON,37.8506,-94.3424
PA,PERRY,40.3984,-77.2622
IL,BUREAU,41.4041,-89.5287
NE,WEBSTER,40.1764,-98.4999
ND,BARNES,46.9361,-98.0716
AL,CALHOUN,33.7714,-85.8261
IN,GIBSON,38.3118,-87.5846
AR,LAWRENCE,36.0413,-91.1071
KS,HASKELL,37.5623,-100.8712
OH,SENECA,41.1239,-83.1277
TX,KAUFMAN,32.5996,-96.2879
KS,FRANKLIN,38.5646,-95.2859
VA,PATRICK,36.6784,-80.2843
IA,FLOYD,43.06,-92.789
LA,IBERIA,29.8941,-91.7307
AL,TALLADEGA,33.38,-86.1659
IN,PIKE,38.3988,-87.2322
MN,CLEARWATER,47.5776,-95.379
PA,DAUPHIN,40.4155,-76.7793
IL,HARDIN,37.5182,-88.2669
IL,JO DAVIESS,42.3657,-90.2123
PA,FRANKLIN,39.9275,-77.7212
IN,MONTGOMERY,40.0404,-86.8933
LA,TENSAS,32.0016,-91.34
AL,BLOUNT,33.9809,-86.5674
KY,GALLATIN,38.7569,-84.8592
TX,HIDALGO,26.3968,-98.1811
WI,FOREST,45.6673,-88.7704
IN,PARKE,39.7736,-87.2063
GA,LEE,31.7796,-84.141
IN,HENDRICKS,39.7695,-86.51
TN,SHELBY,35.1837,-89.8956
NE,PHELPS,40.5111,-99.4145
KY,KENTON,38.9334,-84.5331
IN,WARREN,40.3469,-87.3533
OK,PAYNE,36.0773,-96.9757
IL,WAYNE,38.4295,-88.4256
IA,CHEROKEE,42.7357,-95.6239
MS,RANKIN,32.2641,-89.9457
TN,HENRY,36.3317,-88.3013
TN,BRADLEY,35.1541,-84.8596
AR,INDEPENDENCE,35.7415,-91.5698
IL,DE KALB,41.8934,-88.7704
MI,SAGINAW,43.335,-84.0532
PA,SULLIVAN,41.446,-76.5119
MN,SIBLEY,44.5795,-94.2321
WI,MILWAUKEE,43.0071,-87.9667
IA,CLAYTON,42.8447,-91.3414
MI,SANILAC,43.4235,-82.8201
SD,JERAULD,44.0664,-98.6298
MN,WRIGHT,45.1739,-93.963
AR,CLAY,36.3685,-90.4173
TX,JACKSON,28.9557,-96.5787
IA,CALHOUN,42.3852,-94.6405
AL,TUSCALOOSA,33.2896,-87.525
MD,FREDERICK,39.4722,-77.3981
MS,MARSHALL,34.7623,-89.5031
KY,HARRISON,38.4418,-84.3315
MO,STODDARD,36.8555,-89.9444
SC,LANCASTER,34.6867,-80.7054
NC,WAYNE,35.3638,-78.004
WI,SAUK,43.4268,-89.9484
MN,PENNINGTON,48.0662,-96.0367
KY,LINCOLN,37.4552,-84.6607
IL,UNION,37.4712,-89.2551
IN,WELLS,40.7291,-85.2212
